,slope
1656,4.6745396
1657,6.8607154
1658,4.68743
1659,4.6100535
1660,6.0252666
1661,4.6525064
1662,4.392175
1663,7.271282
1664,2.0876393
1665,3.1813207
1666,4.069928
1667,4.951515
1668,2.4867585
1669,6.00921
1670,6.9393754
1671,3.07442
1672,0.2706181
1673,4.9717703
1674,2.5617766
1675,3.0782137
1676,3.3998735
1677,7.0473056
1678,6.579481
1679,3.8909373
1680,5.7304497
1681,4.8745
1682,3.3534162
1683,4.161465
1684,3.7997248
1685,3.3351927
1686,6.5891914
1687,5.579778
1688,3.2587628
1689,2.0636518
1690,1.8049862
1691,0.9405518
1692,0.15230305
1693,0.6123707
1694,1.8069245
1695,7.17511
1696,5.6171465
1697,4.460164
1698,6.2517753
1699,3.8725877
1700,5.5833783
1701,3.6276004
1702,4.7002482
1703,3.228966
1704,0.72368425
1705,1.2133588
1706,1.8207383
1707,4.4796114
1708,1.9494448
1709,1.2708834
1710,4.1741114
1711,1.1612854
1712,6.2655644
1713,3.938829
1714,1.4173462
1715,0.30460396
1716,0.6339962
